[B3S3] : dis=26  2021-01-12 09:18:28.156   time_abs = 22ms  time_gap =3.052s
[B3S3] : dis=26  2021-01-12 09:18:31.200   time_abs = 22ms  time_gap =3.044s
[B3S3] : dis=26  2021-01-12 09:18:34.213   time_abs = 22ms  time_gap =3.013s
[B3S3] : dis=26  2021-01-12 09:18:37.264   time_abs = 23ms  time_gap =3.051s
[B3S3] : dis=26  2021-01-12 09:18:40.313   time_abs = 23ms  time_gap =3.049s
[B3S3] : dis=26  2021-01-12 09:18:43.330   time_abs = 22ms  time_gap =3.017s
[B3S3] : dis=26  2021-01-12 09:18:46.413   time_abs = 23ms  time_gap =3.083s
[B3S3] : dis=26  2021-01-12 09:18:49.474   time_abs = 23ms  time_gap =3.061s
[B3S3] : dis=26  2021-01-12 09:18:52.518   time_abs = 23ms  time_gap =3.044s
[B3S3] : dis=26  2021-01-12 09:18:55.568   time_abs = 22ms  time_gap =3.050s
[B3S3] : dis=26  2021-01-12 09:18:58.608   time_abs = 23ms  time_gap =3.040s
[B3S3] : dis=25  2021-01-12 09:19:01.669   time_abs = 33ms  time_gap =3.061s
[B3S3] : dis=25  2021-01-12 09:19:04.734   time_abs = 24ms  time_gap =3.065s
[B3S3] : dis=26  2021-01-12 09:19:07.769   time_abs = 30ms  time_gap =3.035s
[B3S3] : dis=25  2021-01-12 09:19:10.797   time_abs = 22ms  time_gap =3.028s
[B3S3] : dis=26  2021-01-12 09:19:13.799   time_abs = 24ms  time_gap =3.002s
[B3S3] : dis=26  2021-01-12 09:19:16.803   time_abs = 25ms  time_gap =3.004s
[B3S3] : dis=26  2021-01-12 09:19:19.865   time_abs = 23ms  time_gap =3.062s
[B3S3] : dis=25  2021-01-12 09:19:22.873   time_abs = 23ms  time_gap =3.008s
[B3S3] : dis=26  2021-01-12 09:19:25.876   time_abs = 24ms  time_gap =3.003s
[B3S3] : dis=26  2021-01-12 09:19:28.878   time_abs = 23ms  time_gap =3.002s
[B3S3] : dis=25  2021-01-12 09:19:31.922   time_abs = 23ms  time_gap =3.044s
[B3S3] : dis=26  2021-01-12 09:19:34.947   time_abs = 22ms  time_gap =3.025s
[B3S3] : dis=26  2021-01-12 09:19:37.954   time_abs = 22ms  time_gap =3.007s
[B3S3] : dis=26  2021-01-12 09:19:40.957   time_abs = 22ms  time_gap =3.003s
[B3S3] : dis=26  2021-01-12 09:19:44.013   time_abs = 22ms  time_gap =3.056s
[B3S3] : dis=26  2021-01-12 09:19:47.044   time_abs = 24ms  time_gap =3.031s
[B3S3] : dis=26  2021-01-12 09:19:50.074   time_abs = 23ms  time_gap =3.030s
[B3S3] : dis=26  2021-01-12 09:19:53.138   time_abs = 23ms  time_gap =3.064s
[B3S3] : dis=26  2021-01-12 09:19:56.149   time_abs = 23ms  time_gap =3.011s
[B3S3] : dis=25  2021-01-12 09:19:59.202   time_abs = 23ms  time_gap =3.053s
[B3S3] : dis=26  2021-01-12 09:20:02.224   time_abs = 23ms  time_gap =3.022s
[B3S3] : dis=26  2021-01-12 09:20:05.236   time_abs = 23ms  time_gap =3.012s
[B3S3] : dis=26  2021-01-12 09:20:08.299   time_abs = 29ms  time_gap =3.063s
[B3S3] : dis=26  2021-01-12 09:20:11.328   time_abs = 23ms  time_gap =3.029s
[B3S3] : dis=26  2021-01-12 09:20:14.358   time_abs = 23ms  time_gap =3.030s
[B3S3] : dis=26  2021-01-12 09:20:17.418   time_abs = 23ms  time_gap =3.060s
[B3S3] : dis=25  2021-01-12 09:20:20.436   time_abs = 23ms  time_gap =3.018s
[B3S3] : dis=26  2021-01-12 09:20:23.461   time_abs = 23ms  time_gap =3.025s
