[B3S1] : dis=22  2021-01-12 09:15:01.861   time_abs = 42ms  time_gap =1610457301.862s
[B3S1] : dis=22  2021-01-12 09:15:04.898   time_abs = 21ms  time_gap =3.037s
[B3S1] : dis=22  2021-01-12 09:15:07.913   time_abs = 21ms  time_gap =3.015s
[B3S1] : dis=22  2021-01-12 09:15:10.917   time_abs = 21ms  time_gap =3.004s
[B3S1] : dis=22  2021-01-12 09:15:13.962   time_abs = 21ms  time_gap =3.045s
[B3S1] : dis=22  2021-01-12 09:15:17.023   time_abs = 21ms  time_gap =3.061s
[B3S1] : dis=22  2021-01-12 09:15:20.084   time_abs = 21ms  time_gap =3.061s
[B3S1] : dis=22  2021-01-12 09:15:23.136   time_abs = 21ms  time_gap =3.052s
[B3S1] : dis=22  2021-01-12 09:15:26.141   time_abs = 23ms  time_gap =3.005s
[B3S1] : dis=22  2021-01-12 09:15:29.177   time_abs = 22ms  time_gap =3.036s
[B3S1] : dis=22  2021-01-12 09:15:32.208   time_abs = 22ms  time_gap =3.031s
[B3S1] : dis=22  2021-01-12 09:15:35.212   time_abs = 21ms  time_gap =3.004s
[B3S1] : dis=22  2021-01-12 09:15:38.253   time_abs = 21ms  time_gap =3.041s
[B3S1] : dis=22  2021-01-12 09:15:41.306   time_abs = 21ms  time_gap =3.053s
[B3S1] : dis=22  2021-01-12 09:15:44.312   time_abs = 22ms  time_gap =3.006s
[B3S1] : dis=22  2021-01-12 09:15:47.365   time_abs = 22ms  time_gap =3.053s
[B3S1] : dis=22  2021-01-12 09:15:50.431   time_abs = 20ms  time_gap =3.066s
[B3S1] : dis=22  2021-01-12 09:15:53.452   time_abs = 22ms  time_gap =3.021s
[B3S1] : dis=22  2021-01-12 09:15:56.503   time_abs = 22ms  time_gap =3.051s
[B3S1] : dis=22  2021-01-12 09:15:59.508   time_abs = 22ms  time_gap =3.005s
[B3S1] : dis=22  2021-01-12 09:16:02.564   time_abs = 22ms  time_gap =3.056s
[B3S1] : dis=22  2021-01-12 09:16:05.598   time_abs = 23ms  time_gap =3.034s
[B3S1] : dis=22  2021-01-12 09:16:08.667   time_abs = 22ms  time_gap =3.069s
[B3S1] : dis=22  2021-01-12 09:16:11.724   time_abs = 21ms  time_gap =3.057s
[B3S1] : dis=22  2021-01-12 09:16:14.765   time_abs = 22ms  time_gap =3.041s
[B3S1] : dis=22  2021-01-12 09:16:17.806   time_abs = 22ms  time_gap =3.041s
[B3S1] : dis=22  2021-01-12 09:16:20.816   time_abs = 21ms  time_gap =3.010s
[B3S1] : dis=22  2021-01-12 09:16:23.891   time_abs = 26ms  time_gap =3.075s
[B3S1] : dis=22  2021-01-12 09:16:26.944   time_abs = 55ms  time_gap =3.053s
[B3S1] : dis=22  2021-01-12 09:16:29.957   time_abs = 21ms  time_gap =3.013s
[B3S1] : dis=22  2021-01-12 09:16:33.007   time_abs = 22ms  time_gap =3.050s
