[B9S2] : dis=31  1609939345796ms
[B9S2] : dis=32  1609939345963ms
[B9S2] : dis=31  1609939346188ms
[B9S2] : dis=32  1609939346244ms
[B9S2] : dis=31  1609939346301ms
[B9S2] : dis=32  1609939346362ms
[B9S2] : dis=32  1609939349373ms
[B9S2] : dis=31  1609939349431ms
[B9S2] : dis=32  1609939349488ms
[B9S2] : dis=31  1609939350780ms
[B9S2] : dis=32  1609939350836ms
[B9S2] : dis=31  1609939352018ms
[B9S2] : dis=32  1609939352075ms
[B9S2] : dis=31  1609939353886ms
[B9S2] : dis=32  1609939353944ms
[B9S2] : dis=31  1609939354116ms
[B9S2] : dis=32  1609939354175ms
[B9S2] : dis=31  1609939355783ms
[B9S2] : dis=32  1609939355841ms
[B9S2] : dis=31  1609939355897ms
[B9S2] : dis=32  1609939355955ms
[B9S2] : dis=31  1609939356291ms
[B9S2] : dis=32  1609939356347ms
[B9S2] : dis=31  1609939356935ms
[B9S2] : dis=32  1609939356993ms
[B9S2] : dis=31  1609939357443ms
[B9S2] : dis=32  1609939357501ms
[B9S2] : dis=31  1609939358419ms
[B9S2] : dis=32  1609939358475ms
[B9S2] : dis=31  1609939359613ms
[B9S2] : dis=32  1609939359680ms
[B9S2] : dis=31  1609939360483ms
[B9S2] : dis=32  1609939360540ms
[B9S2] : dis=31  1609939360763ms
[B9S2] : dis=32  1609939360881ms
[B9S2] : dis=31  1609939361050ms
[B9S2] : dis=32  1609939361106ms
[B9S2] : dis=31  1609939362075ms
[B9S2] : dis=32  1609939362133ms
[B9S2] : dis=31  1609939362191ms
[B9S2] : dis=32  1609939362249ms
[B9S2] : dis=31  1609939362361ms
[B9S2] : dis=32  1609939362418ms
[B9S2] : dis=31  1609939362586ms
[B9S2] : dis=32  1609939362644ms
[B9S2] : dis=31  1609939362708ms
[B9S2] : dis=32  1609939362765ms
[B9S2] : dis=31  1609939363117ms
[B9S2] : dis=32  1609939363185ms
[B9S2] : dis=31  1609939365076ms
[B9S2] : dis=32  1609939365134ms
[B9S2] : dis=31  1609939365415ms
[B9S2] : dis=32  1609939365473ms
[B9S2] : dis=31  1609939365811ms
[B9S2] : dis=32  1609939365867ms
[B9S2] : dis=31  1609939367127ms
[B9S2] : dis=32  1609939367185ms
[B9S2] : dis=30  1609939367634ms
[B9S2] : dis=32  1609939367700ms
[B9S2] : dis=31  1609939367762ms
[B9S2] : dis=32  1609939367824ms
[B9S2] : dis=31  1609939368000ms
[B9S2] : dis=32  1609939368112ms
[B9S2] : dis=31  1609939368401ms
[B9S2] : dis=32  1609939368457ms
[B9S2] : dis=31  1609939368627ms
[B9S2] : dis=32  1609939368684ms
[B9S2] : dis=31  1609939370700ms
[B9S2] : dis=32  1609939370757ms
[B9S2] : dis=31  1609939371406ms
[B9S2] : dis=32  1609939371467ms
[B9S2] : dis=31  1609939373452ms
[B9S2] : dis=32  1609939373510ms
[B9S2] : dis=31  1609939373851ms
[B9S2] : dis=32  1609939373907ms
[B9S2] : dis=31  1609939374075ms
[B9S2] : dis=32  1609939374133ms
[B9S2] : dis=31  1609939374646ms
[B9S2] : dis=32  1609939374717ms
[B9S2] : dis=31  1609939377022ms
[B9S2] : dis=32  1609939377078ms
[B9S2] : dis=31  1609939377191ms
[B9S2] : dis=32  1609939377247ms
[B9S2] : dis=31  1609939377835ms
[B9S2] : dis=32  1609939377899ms
[B9S2] : dis=31  1609939378078ms
[B9S2] : dis=32  1609939378141ms
[B9S2] : dis=31  1609939378363ms
[B9S2] : dis=32  1609939378422ms
[B9S2] : dis=31  1609939379154ms
[B9S2] : dis=32  1609939379211ms
[B9S2] : dis=32  1609939382256ms
[B9S2] : dis=31  1609939384790ms
[B9S2] : dis=32  1609939384846ms
[B9S2] : dis=31  1609939385463ms
[B9S2] : dis=32  1609939385520ms
[B9S2] : dis=31  1609939386652ms
[B9S2] : dis=32  1609939386709ms
[B9S2] : dis=31  1609939387943ms
[B9S2] : dis=32  1609939388056ms
[B9S2] : dis=31  1609939388562ms
[B9S2] : dis=32  1609939388619ms
[B9S2] : dis=31  1609939388676ms
[B9S2] : dis=32  1609939388733ms
[B9S2] : dis=31  1609939390496ms
[B9S2] : dis=32  1609939390553ms
[B9S2] : dis=31  1609939391301ms
[B9S2] : dis=32  1609939391357ms
[B9S2] : dis=31  1609939392133ms
[B9S2] : dis=32  1609939392204ms
[B9S2] : dis=32  1609939395221ms
[B9S2] : dis=31  1609939395279ms
[B9S2] : dis=32  1609939395335ms
[B9S2] : dis=31  1609939396773ms
[B9S2] : dis=32  1609939396830ms
[B9S2] : dis=31  1609939398086ms
[B9S2] : dis=32  1609939398144ms
[B9S2] : dis=31  1609939398537ms
[B9S2] : dis=32  1609939398595ms
[B9S2] : dis=31  1609939400108ms
[B9S2] : dis=32  1609939400165ms
[B9S2] : dis=31  1609939400222ms
[B9S2] : dis=32  1609939400280ms
[B9S2] : dis=31  1609939402168ms
[B9S2] : dis=32  1609939402238ms
[B9S2] : dis=31  1609939402296ms
[B9S2] : dis=32  1609939402368ms
[B9S2] : dis=31  1609939404932ms
[B9S2] : dis=32  1609939404991ms
[B9S2] : dis=31  1609939405214ms
[B9S2] : dis=32  1609939405274ms
[B9S2] : dis=31  1609939405455ms
