[B5S2] : dis=22  2021-04-24 05:36:02.128  net_delay = 36ms  time_gap =2.467s  termId = 127
[B5S2] : dis=25  2021-04-24 05:36:02.189  net_delay = 26ms  time_gap =0.061s  termId = 128
[B5S2] : dis=26  2021-04-24 05:36:04.251  net_delay = 28ms  time_gap =2.062s  termId = 129
[B5S2] : dis=25  2021-04-24 05:36:04.311  net_delay = 50ms  time_gap =0.060s  termId = 130
[B5S2] : dis=25  2021-04-24 05:36:07.322  net_delay = 29ms  time_gap =3.011s  termId = 131
[B5S2] : dis=25  2021-04-24 05:36:10.358  net_delay = 25ms  time_gap =3.036s  termId = 132
[B5S2] : dis=25  2021-04-24 05:36:13.399  net_delay = 28ms  time_gap =3.041s  termId = 133
[B5S2] : dis=25  2021-04-24 05:36:16.458  net_delay = 26ms  time_gap =3.059s  termId = 134
[B5S2] : dis=25  2021-04-24 05:36:19.485  net_delay = 24ms  time_gap =3.027s  termId = 135
[B5S2] : dis=25  2021-04-24 05:36:22.545  net_delay = 26ms  time_gap =3.060s  termId = 136
[B5S2] : dis=25  2021-04-24 05:36:25.572  net_delay = 28ms  time_gap =3.027s  termId = 137
[B5S2] : dis=25  2021-04-24 05:36:28.626  net_delay = 29ms  time_gap =3.054s  termId = 138
[B5S2] : dis=25  2021-04-24 05:36:31.659  net_delay = 26ms  time_gap =3.033s  termId = 139
[B5S2] : dis=25  2021-04-24 05:36:34.661  net_delay = 27ms  time_gap =3.002s  termId = 140
[B5S2] : dis=25  2021-04-24 05:36:37.706  net_delay = 26ms  time_gap =3.045s  termId = 141
[B5S2] : dis=25  2021-04-24 05:36:40.736  net_delay = 24ms  time_gap =3.030s  termId = 142
[B5S2] : dis=25  2021-04-24 05:36:43.749  net_delay = 24ms  time_gap =3.013s  termId = 143
[B5S2] : dis=25  2021-04-24 05:36:46.763  net_delay = 26ms  time_gap =3.014s  termId = 144
[B5S2] : dis=25  2021-04-24 05:36:49.818  net_delay = 45ms  time_gap =3.055s  termId = 145
[B5S2] : dis=25  2021-04-24 05:36:52.845  net_delay = 25ms  time_gap =3.027s  termId = 146
[B5S2] : dis=25  2021-04-24 05:36:55.881  net_delay = 26ms  time_gap =3.036s  termId = 147
[B5S2] : dis=25  2021-04-24 05:36:58.897  net_delay = 26ms  time_gap =3.016s  termId = 148
[B5S2] : dis=25  2021-04-24 05:37:01.958  net_delay = 25ms  time_gap =3.061s  termId = 149
[B5S2] : dis=26  2021-04-24 05:37:02.553  net_delay = 27ms  time_gap =0.595s  termId = 150
[B5S2] : dis=25  2021-04-24 05:37:02.613  net_delay = 25ms  time_gap =0.060s  termId = 151
[B5S2] : dis=25  2021-04-24 05:37:05.666  net_delay = 26ms  time_gap =3.053s  termId = 152
[B5S2] : dis=25  2021-04-24 05:37:08.671  net_delay = 38ms  time_gap =3.005s  termId = 153
[B5S2] : dis=26  2021-04-24 05:37:11.545  net_delay = 26ms  time_gap =2.874s  termId = 154
[B5S2] : dis=25  2021-04-24 05:37:11.616  net_delay = 29ms  time_gap =0.071s  termId = 155
[B5S2] : dis=25  2021-04-24 05:37:14.666  net_delay = 25ms  time_gap =3.050s  termId = 156
[B5S2] : dis=25  2021-04-24 05:37:17.700  net_delay = 26ms  time_gap =3.034s  termId = 157
[B5S2] : dis=25  2021-04-24 05:37:20.726  net_delay = 23ms  time_gap =3.026s  termId = 158
[B5S2] : dis=25  2021-04-24 05:37:23.728  net_delay = 26ms  time_gap =3.002s  termId = 159
[B5S2] : dis=25  2021-04-24 05:37:26.745  net_delay = 30ms  time_gap =3.017s  termId = 160
